Attendance,Date,Home,Away,Home_Avg_Attendance,Home_Last3_Avg,Matchup_Avg_Attendance,Home_Is_Big3,Away_Is_Big3,Day_Type,Round_Num
2178,2023-03-18,Estoril,Chaves,2513,1608,2513,0,0,weekend,25
5530,2023-03-19,Boavista,Famalicao,6555,4212,6555,0,0,weekend,25
2432,2023-03-19,Casa Pia AC,Maritimo,3614,1117,3614,0,0,weekend,25
22256,2023-03-19,Braga,FC Porto,14585,12398,14585,0,1,weekend,25
1612,2023-03-31,Estoril,Gil Vicente,2485,2015,2485,0,0,weekend,26
3008,2023-04-01,Vizela,Casa Pia AC,3284,4154,3284,0,0,weekend,26
14784,2023-04-01,Vitoria de Guimaraes,Pacos de Ferreira,14957,17915,14957,0,0,weekend,26
31603,2023-04-01,Sporting CP,Santa Clara,28738,29792,28738,1,0,weekend,26
5454,2023-04-02,Chaves,Braga,3701,4617,3701,0,0,weekend,26
9679,2023-04-02,Maritimo,Boavista,8148,9932,8148,0,0,weekend,26
4134,2023-04-02,Rio Ave,Benfica,2764,2978,2764,0,1,weekend,26
35802,2023-04-02,FC Porto,Portimonense,41784,35085,41784,1,0,weekend,26
4030,2023-04-03,Famalicao,Arouca,3652,3392,3652,0,0,weekday,26
8076,2023-04-05,Gil Vicente,Sporting CP,3993,3727,3993,0,1,rare,25
802,2023-04-07,Santa Clara,Vizela,2621,1376,2621,0,0,weekend,27
62028,2023-04-07,Benfica,FC Porto,55880,57594,55880,1,1,weekend,27
5756,2023-04-07,Boavista,Vitoria de Guimaraes,6476,4598,6476,0,0,weekend,27
15507,2023-04-08,Braga,Estoril,15224,15040,15224,0,0,weekend,27
1246,2023-04-08,Portimonense,Rio Ave,1944,2443,1944,0,0,weekend,27
4992,2023-04-08,Pacos de Ferreira,Famalicao,4277,3969,4277,0,0,weekend,27
1719,2023-04-08,Arouca,Maritimo,1666,992,1666,0,0,weekend,27
10509,2023-04-09,Casa Pia AC,Sporting CP,3523,1593,3523,0,1,weekend,27
3761,2023-04-10,Gil Vicente,Chaves,4307,5510,4307,0,0,weekday,27
4042,2023-04-14,Famalicao,Vitoria de Guimaraes,3681,3241,3681,0,0,weekend,28
1714,2023-04-15,Estoril,Portimonense,2418,1868,2418,0,0,weekend,28
9093,2023-04-15,Maritimo,Pacos de Ferreira,8266,9846,8266,0,0,weekend,28
8297,2023-04-15,Chaves,Benfica,3836,4774,3836,0,1,weekend,28
40708,2023-04-15,FC Porto,Santa Clara,41324,33476,41324,1,0,weekend,28
2752,2023-04-16,Rio Ave,Casa Pia AC,2870,3471,2870,0,0,weekend,28
18197,2023-04-16,Braga,Gil Vicente,15246,15740,15246,0,0,weekend,28
25584,2023-04-16,Sporting CP,Arouca,28959,27150,28959,1,0,weekend,28
3403,2023-04-17,Vizela,Boavista,3263,4187,3263,0,0,weekday,28
1016,2023-04-21,Casa Pia AC,Braga,4022,4490,4022,0,0,weekend,29
6260,2023-04-22,Boavista,Rio Ave,6424,5325,6424,0,0,weekend,29
